dataset,query_id,query_original,query_variation,category,variation
msmarco-passage/trec-dl-2019/judged,168216,does legionella pneumophila cause pneumonia,legionella pneumophila cause pneumonia,Naturality,RemoveStopWords
msmarco-passage/trec-dl-2019/judged,1133167,how is the weather in jamaica,weather jamaica,Naturality,RemoveStopWords
msmarco-passage/trec-dl-2019/judged,527433,types of dysarthria from cerebral palsy,types dysarthria cerebral palsy,Naturality,RemoveStopWords
msmarco-passage/trec-dl-2019/judged,1037798,who is robert gray,robert gray,Naturality,RemoveStopWords
msmarco-passage/trec-dl-2019/judged,915593,what types of food can you cook sous vide,types food cook sous vide,Naturality,RemoveStopWords
msmarco-passage/trec-dl-2019/judged,264014,how long is life cycle of flea,long life cycle flea,Naturality,RemoveStopWords
msmarco-passage/trec-dl-2019/judged,1121402,what can contour plowing reduce,contour plowing reduce,Naturality,RemoveStopWords
msmarco-passage/trec-dl-2019/judged,962179,when was the salvation army founded,salvation army founded,Naturality,RemoveStopWords
msmarco-passage/trec-dl-2019/judged,1117099,what is a active margin,active margin,Naturality,RemoveStopWords
msmarco-passage/trec-dl-2019/judged,148538,difference between rn and bsn,difference rn bsn,Naturality,RemoveStopWords
msmarco-passage/trec-dl-2019/judged,451602,medicare s definition of mechanical ventilation,medicare definition mechanical ventilation,Naturality,RemoveStopWords
msmarco-passage/trec-dl-2019/judged,359349,how to find the midsegment of a trapezoid,find midsegment trapezoid,Naturality,RemoveStopWords
msmarco-passage/trec-dl-2019/judged,1115776,what is an aml surveillance analyst,aml surveillance analyst,Naturality,RemoveStopWords
msmarco-passage/trec-dl-2019/judged,1112341,what is the daily life of thai people,daily life thai people,Naturality,RemoveStopWords
msmarco-passage/trec-dl-2019/judged,131843,definition of a sigmet,definition sigmet,Naturality,RemoveStopWords
msmarco-passage/trec-dl-2019/judged,104861,cost of interior concrete flooring,cost interior concrete flooring,Naturality,RemoveStopWords
msmarco-passage/trec-dl-2019/judged,833860,what is the most popular food in switzerland,popular food switzerland,Naturality,RemoveStopWords
msmarco-passage/trec-dl-2019/judged,207786,how are some sharks warm blooded,sharks warm blooded,Naturality,RemoveStopWords
msmarco-passage/trec-dl-2019/judged,1114819,what is durable medical equipment consist of,durable medical equipment consist,Naturality,RemoveStopWords
msmarco-passage/trec-dl-2019/judged,183378,exons definition biology,exons definition biology,Naturality,RemoveStopWords
msmarco-passage/trec-dl-2019/judged,1106007,define visceral,define visceral,Naturality,RemoveStopWords
msmarco-passage/trec-dl-2019/judged,1124210,tracheids are part of,tracheids part,Naturality,RemoveStopWords
msmarco-passage/trec-dl-2019/judged,490595,rsa definition key,rsa definition key,Naturality,RemoveStopWords
msmarco-passage/trec-dl-2019/judged,1103812,who formed the commonwealth of independent states,formed commonwealth independent states,Naturality,RemoveStopWords
msmarco-passage/trec-dl-2019/judged,87181,causes of left ventricular hypertrophy,causes left ventricular hypertrophy,Naturality,RemoveStopWords
msmarco-passage/trec-dl-2019/judged,443396,lps laws definition,lps laws definition,Naturality,RemoveStopWords
msmarco-passage/trec-dl-2019/judged,1121709,what are the three percenters,three percenters,Naturality,RemoveStopWords
msmarco-passage/trec-dl-2019/judged,87452,causes of military suicide,causes military suicide,Naturality,RemoveStopWords
msmarco-passage/trec-dl-2019/judged,855410,what is theraderm used for,theraderm used,Naturality,RemoveStopWords
msmarco-passage/trec-dl-2019/judged,1114646,what is famvir prescribed for,famvir prescribed,Naturality,RemoveStopWords
msmarco-passage/trec-dl-2019/judged,19335,anthropological definition of environment,anthropological definition environment,Naturality,RemoveStopWords
msmarco-passage/trec-dl-2019/judged,47923,axon terminals or synaptic knob definition,axon terminals synaptic knob definition,Naturality,RemoveStopWords
msmarco-passage/trec-dl-2019/judged,405717,is cdg airport in main paris,cdg airport main paris,Naturality,RemoveStopWords
msmarco-passage/trec-dl-2019/judged,182539,example of monotonic function,example monotonic function,Naturality,RemoveStopWords
msmarco-passage/trec-dl-2019/judged,1113437,what is physical description of spruce,physical description spruce,Naturality,RemoveStopWords
msmarco-passage/trec-dl-2019/judged,1129237,hydrogen is a liquid below what temperature,hydrogen liquid temperature,Naturality,RemoveStopWords
msmarco-passage/trec-dl-2019/judged,146187,difference between a mcdouble and a double cheeseburger,difference mcdouble double cheeseburger,Naturality,RemoveStopWords
msmarco-passage/trec-dl-2019/judged,156493,do goldfish grow,goldfish,Naturality,T5DescToTitle
msmarco-passage/trec-dl-2019/judged,1110199,what is wifi vs bluetooth,wifi vs bluetooth,Naturality,T5DescToTitle
msmarco-passage/trec-dl-2019/judged,1063750,why did the us volunterilay enter ww1,volunterilay ww,Naturality,T5DescToTitle
msmarco-passage/trec-dl-2019/judged,130510,definition declaratory judgment,declaratory judgment,Naturality,T5DescToTitle
msmarco-passage/trec-dl-2019/judged,489204,right pelvic pain causes,pelvic pain,Naturality,T5DescToTitle
msmarco-passage/trec-dl-2019/judged,573724,what are the social determinants of health,social determinants of health,Naturality,T5DescToTitle
msmarco-passage/trec-dl-2019/judged,168216,does legionella pneumophila cause pneumonia,legionella pneumophila,Naturality,T5DescToTitle
msmarco-passage/trec-dl-2019/judged,1133167,how is the weather in jamaica,jamaica weather,Naturality,T5DescToTitle
msmarco-passage/trec-dl-2019/judged,527433,types of dysarthria from cerebral palsy,dysarthria cerebral pal,Naturality,T5DescToTitle
msmarco-passage/trec-dl-2019/judged,1037798,who is robert gray,robert gray,Naturality,T5DescToTitle
msmarco-passage/trec-dl-2019/judged,915593,what types of food can you cook sous vide,sous vide food,Naturality,T5DescToTitle
msmarco-passage/trec-dl-2019/judged,264014,how long is life cycle of flea,flea life cycle,Naturality,T5DescToTitle
msmarco-passage/trec-dl-2019/judged,1121402,what can contour plowing reduce,contour plowing,Naturality,T5DescToTitle
msmarco-passage/trec-dl-2019/judged,962179,when was the salvation army founded,salvation army,Naturality,T5DescToTitle
msmarco-passage/trec-dl-2019/judged,1117099,what is a active margin,active margin,Naturality,T5DescToTitle
msmarco-passage/trec-dl-2019/judged,148538,difference between rn and bsn,rn bsn,Naturality,T5DescToTitle
msmarco-passage/trec-dl-2019/judged,451602,medicare s definition of mechanical ventilation,mechanical ventilation,Naturality,T5DescToTitle
msmarco-passage/trec-dl-2019/judged,359349,how to find the midsegment of a trapezoid,trapezoid,Naturality,T5DescToTitle
msmarco-passage/trec-dl-2019/judged,1115776,what is an aml surveillance analyst,aml surveillance analyst,Naturality,T5DescToTitle
msmarco-passage/trec-dl-2019/judged,1112341,what is the daily life of thai people,thai people,Naturality,T5DescToTitle
msmarco-passage/trec-dl-2019/judged,131843,definition of a sigmet,sigmet,Naturality,T5DescToTitle
msmarco-passage/trec-dl-2019/judged,104861,cost of interior concrete flooring,cost of interior concrete flooring,Naturality,T5DescToTitle
msmarco-passage/trec-dl-2019/judged,833860,what is the most popular food in switzerland,food in switzerland,Naturality,T5DescToTitle
msmarco-passage/trec-dl-2019/judged,207786,how are some sharks warm blooded,shark warm blooded,Naturality,T5DescToTitle
msmarco-passage/trec-dl-2019/judged,1114819,what is durable medical equipment consist of,durable medical equipment,Naturality,T5DescToTitle
msmarco-passage/trec-dl-2019/judged,183378,exons definition biology,exons biology,Naturality,T5DescToTitle
msmarco-passage/trec-dl-2019/judged,1106007,define visceral,visceral,Naturality,T5DescToTitle
msmarco-passage/trec-dl-2019/judged,1124210,tracheids are part of,tracheid,Naturality,T5DescToTitle
msmarco-passage/trec-dl-2019/judged,490595,rsa definition key,rsa definition,Naturality,T5DescToTitle
msmarco-passage/trec-dl-2019/judged,1103812,who formed the commonwealth of independent states,commonwealth,Naturality,T5DescToTitle
msmarco-passage/trec-dl-2019/judged,87181,causes of left ventricular hypertrophy,left ventricular hypertrophy,Naturality,T5DescToTitle
msmarco-passage/trec-dl-2019/judged,443396,lps laws definition,lps laws definition,Naturality,T5DescToTitle
msmarco-passage/trec-dl-2019/judged,1121709,what are the three percenters,three percenters,Naturality,T5DescToTitle
msmarco-passage/trec-dl-2019/judged,87452,causes of military suicide,military suicide,Naturality,T5DescToTitle
msmarco-passage/trec-dl-2019/judged,855410,what is theraderm used for,theraderm,Naturality,T5DescToTitle
msmarco-passage/trec-dl-2019/judged,1114646,what is famvir prescribed for,famvir,Naturality,T5DescToTitle
msmarco-passage/trec-dl-2019/judged,19335,anthropological definition of environment,environment anthropological definition,Naturality,T5DescToTitle
msmarco-passage/trec-dl-2019/judged,47923,axon terminals or synaptic knob definition,synaptic knobs,Naturality,T5DescToTitle
msmarco-passage/trec-dl-2019/judged,405717,is cdg airport in main paris,cdg airport paris,Naturality,T5DescToTitle
msmarco-passage/trec-dl-2019/judged,182539,example of monotonic function,monotonic function,Naturality,T5DescToTitle
msmarco-passage/trec-dl-2019/judged,1113437,what is physical description of spruce,spruce,Naturality,T5DescToTitle
msmarco-passage/trec-dl-2019/judged,1129237,hydrogen is a liquid below what temperature,hydrogen liquid below what temperature,Naturality,T5DescToTitle
msmarco-passage/trec-dl-2019/judged,146187,difference between a mcdouble and a double cheeseburger,double cheeseburger,Naturality,T5DescToTitle
msmarco-passage/trec-dl-2019/judged,156493,do goldfish grow,do grow goldfish,Ordering,RandomOrderSwap
msmarco-passage/trec-dl-2019/judged,1110199,what is wifi vs bluetooth,vs is wifi what bluetooth,Ordering,RandomOrderSwap
msmarco-passage/trec-dl-2019/judged,1063750,why did the us volunterilay enter ww1,why did volunterilay us the enter ww1,Ordering,RandomOrderSwap
msmarco-passage/trec-dl-2019/judged,130510,definition declaratory judgment,definition judgment declaratory,Ordering,RandomOrderSwap
msmarco-passage/trec-dl-2019/judged,489204,right pelvic pain causes,pelvic right pain causes,Ordering,RandomOrderSwap
msmarco-passage/trec-dl-2019/judged,573724,what are the social determinants of health,what health the social determinants of are,Ordering,RandomOrderSwap
msmarco-passage/trec-dl-2019/judged,168216,does legionella pneumophila cause pneumonia,cause legionella pneumophila does pneumonia,Ordering,RandomOrderSwap
msmarco-passage/trec-dl-2019/judged,1133167,how is the weather in jamaica,how is the in weather jamaica,Ordering,RandomOrderSwap
msmarco-passage/trec-dl-2019/judged,527433,types of dysarthria from cerebral palsy,types of from dysarthria cerebral palsy,Ordering,RandomOrderSwap
msmarco-passage/trec-dl-2019/judged,1037798,who is robert gray,is who robert gray,Ordering,RandomOrderSwap
msmarco-passage/trec-dl-2019/judged,915593,what types of food can you cook sous vide,what types of sous can you cook food vide,Ordering,RandomOrderSwap
msmarco-passage/trec-dl-2019/judged,264014,how long is life cycle of flea,how flea is life cycle of long,Ordering,RandomOrderSwap
msmarco-passage/trec-dl-2019/judged,1121402,what can contour plowing reduce,what can reduce plowing contour,Ordering,RandomOrderSwap
msmarco-passage/trec-dl-2019/judged,962179,when was the salvation army founded,the was when salvation army founded,Ordering,RandomOrderSwap
msmarco-passage/trec-dl-2019/judged,1117099,what is a active margin,active is a what margin,Ordering,RandomOrderSwap
msmarco-passage/trec-dl-2019/judged,148538,difference between rn and bsn,difference between and rn bsn,Ordering,RandomOrderSwap
msmarco-passage/trec-dl-2019/judged,451602,medicare s definition of mechanical ventilation,s medicare definition of mechanical ventilation,Ordering,RandomOrderSwap
